ST_LEAID,MEMBER
CA-1563792,3046
CA-1563800,2402
CA-1563834,676
CA-1563842,3414
CA-1262828,307
CA-1262836,69
CA-1262851,14
CA-1262885,217
CA-1262893,459
CA-1262919,32
CA-1262927,103
CA-1262935,6
CA-1262950,929
CA-1262968,10
CA-1262976,571
CA-0761655,9435
CA-0761663,1230
CA-1262984,78
CA-1263008,334
CA-1263024,182
CA-1263032,421
CA-1263057,169
CA-0761671,65
CA-0761705,577
CA-0761713,3180
CA-0761747,1735
CA-0761762,5059
CA-0761770,2516
CA-0761812,3435
CA-5672447,473
CA-5672462,7140
CA-2866258,102
CA-2866282,55
CA-2365557,225
CA-2365573,35
CA-5271472,812
CA-5271498,1990
CA-5271522,1176
CA-5271530,45
CA-5271548,399
CA-5271555,102
CA-5271563,358
CA-5672470,564
CA-5672504,181
CA-5672512,2191
CA-5672538,14171
CA-5672553,5808
CA-5672561,5189
CA-5672579,54
CA-5672611,240
CA-5872728,54
CA-5872744,1499
CA-5872751,1361
CA-5271621,1842
CA-5271647,181
CA-5271654,238
CA-2966415,94
CA-2966316,153
CA-2966324,156
CA-2966332,1602
CA-2966340,684
CA-2966373,1403
CA-2966407,682
CA-1764048,300
CA-5572306,173
CA-5572348,438
CA-5572355,441
CA-5572363,380
CA-5572371,724
CA-5572397,484
CA-5572405,416
CA-5572421,254
CA-3467280,491
CA-3467421,1904
CA-4970599,112
CA-4970615,1586
CA-4970623,951
CA-4970649,207
CA-4970672,147
CA-4970680,224
CA-4970698,14
CA-4970714,768
CA-0461382,69
CA-4970722,232
CA-4970730,195
CA-4970763,56
CA-4970789,113
CA-4970797,217
CA-4970805,1305
CA-4970813,59
CA-4970821,21
CA-4970839,823
CA-4970847,1836
CA-4970854,2158
CA-4970870,282
CA-4970888,8
CA-4970896,3072
CA-4970904,1473
CA-4970912,4753
CA-4970938,428
CA-4970961,959
CA-4970979,133
CA-2765961,7509
CA-3567454,30
CA-2765979,37
CA-2765995,278
CA-5071050,565
CA-5071076,2875
CA-5071084,142
CA-5071092,1176
CA-0461457,69
CA-0461499,322
CA-0461507,2124
CA-0461523,1186
CA-0473379,30
CA-0461549,1522
CA-5171357,460
CA-5171365,122
CA-5171381,490
CA-5171407,193
CA-5171415,70
CA-5171423,184
CA-5171431,145
CA-5171456,106
CA-4970995,775
CA-4971001,137
CA-2766027,31
CA-2766035,3339
CA-2766050,2578
CA-2766076,76
CA-2766084,122
CA-4068791,55
CA-2766142,8273
CA-2766167,137
CA-2766175,79
CA-2766183,70
CA-4068825,655
CA-2766191,3231
CA-2766225,918
CA-2766233,734
CA-5071100,985
CA-5071134,1020
CA-5071142,118
CA-5071167,14049
CA-5071209,193
CA-5071233,198
CA-5071266,2171
CA-5071274,170
CA-5071282,3392
CA-5071290,7972
CA-4369369,7529
CA-4369518,3355
CA-4369419,13467
CA-4369682,1625
CA-5371662,91
CA-5371670,9
CA-5371696,162
CA-5371738,63
CA-5371746,75
CA-5371761,13
CA-5471837,4784
CA-5472033,499
CA-5472017,571
CA-5472108,67
CA-5472058,413
CA-5471829,197
CA-5471944,229
CA-5471985,781
CA-5471811,495
CA-1563586,18
CA-5472173,824
CA-5472264,214
CA-4369393,6253
CA-4369500,436
CA-4369526,2626
CA-4369492,74
CA-4369591,4522
CA-4369690,5465
CA-4369450,5952
CA-4369575,3940
CA-4369708,5355
CA-4369625,8663
CA-4369435,8880
CA-4369633,763
CA-4369377,5940
CA-4369617,1648
CA-4369385,2919
CA-4369542,422
CA-2065276,79
CA-5471795,91
CA-3567462,21
CA-3567470,5670
CA-3567488,3
CA-3567504,743
CA-3567520,8
CA-3567553,233
CA-3567561,51
CA-3567579,20
CA-1563669,85
CA-1563693,3878
CA-1563719,184
CA-4971019,219
CA-4971035,1279
CA-1262679,482
CA-1262695,15
CA-1262703,172
CA-1262729,37
CA-3066423,14618
CA-3066456,3966
CA-3066472,4129
CA-3066480,3389
CA-3066498,5976
CA-3066506,11626
CA-3066530,4703
CA-3066563,4352
CA-3066589,5001
CA-3066613,6809
CA-3066696,1806
CA-3066746,8149
MN-012907,491
MN-010801,180
MN-010403,73
MN-010415,169
MN-010635,32
MN-010025,69
MO-002090,227
MO-049135,124
MO-019147,157
MO-007126,50
MO-013062,33
MO-013060,39
MO-024091,19
MO-019140,126
MO-073105,109
MT-0307,199
MT-0308,133
MT-0339,651
MT-0342,105
MT-0320,280
MT-0310,3095
MT-0323,192
MT-0341,163
MT-0325,10
MT-0309,191
MT-1184,762
MT-0334,1313
MT-1203,38
MT-0865,318
MT-0872,6
MT-0875,5
MT-0868,32
MT-0236,740
MT-0010,9
MT-0007,3
MT-0712,426
MT-0536,17
MT-0537,170
MT-0607,47
MT-0605,407
MT-0796,366
MT-0790,202
MT-0789,6
MT-0792,382
MT-0112,271
MT-0127,154
MT-0101,221
MT-0098,7032
MT-1225,178
MT-0104,237
MT-0131,138
MT-0861,107
MT-0060,270
MT-0970,1272
MT-1231,11
MT-0056,328
MT-0419,119
MT-0418,23
MT-0367,52
MT-0370,9
MT-0347,483
MT-0363,669
MT-0362,12
MT-0357,19
MT-0360,523
MT-0354,38
MT-0392,4
MT-0394,1
MT-0377,106
MT-0386,1
MT-0385,6
MT-0387,13
MT-0978,119
MT-0848,469
MT-0853,13
MT-0852,-2
MT-0857,8
MT-0846,224
MT-0858,44
MT-0850,37
MT-0402,551
MT-1222,11
MT-0400,1266
MT-0404,63
MT-1233,150
MT-1236,195
MT-0425,303
MT-0424,16
MT-1217,15
MT-0427,1199
MT-0445,25
MT-1215,66
MT-0617,7
MT-0614,91
MT-0612,837
MT-0620,35
MT-0768,79
MT-0754,69
MT-0745,856
MT-1224,71
MT-0288,2
MT-0258,888
MT-0910,390
MT-0915,6
MT-0749,4
MT-0777,187
MT-0750,182
MT-0811,103
MT-0809,56
MT-0804,320
MT-0807,66
MT-1218,11
MT-0272,7
MT-0268,58
MT-0281,35
MT-0273,48
MT-0264,13
MT-0948,20
MT-0965,10988
MT-0968,181
MT-0969,234
MT-0972,689
MT-0981,451
MT-0989,297
MT-0976,25
MT-0987,72
MT-0985,562
MT-1196,58
MT-0030,467
MT-0032,4
MT-0034,24
MT-0028,228
MT-0048,12
MT-0044,38
MT-1216,10
MT-0674,342
MT-0671,21
MT-0684,34
MT-0679,122
MT-0889,28
MT-0883,255
MT-0890,207
MT-0896,44
MT-0900,68
MT-0898,11
MT-0894,85
MT-0187,61
MT-0189,6
MT-1238,-2
MT-0173,65
MT-0172,953
MT-0177,7
MT-0020,7
MT-0023,1284
MT-0025,274
MT-0021,71
MT-0026,88
MT-0927,62
MT-0932,32
MT-0941,49
MT-0775,596
MT-0780,511
MT-0782,105
MT-0786,54
MT-0774,127
MT-1227,139
MT-0376,165
MT-0366,209
MT-0368,2374
MT-0350,4651
MT-0359,19
MT-0364,143
MT-0455,11
MT-0456,218
MT-0458,40
MT-0452,385
MT-0460,475
MT-0453,328
MT-0005,780
MT-0741,254
MT-0732,656
MT-0003,3
MT-0015,17
MT-0012,5
MT-0014,7
MT-0747,100
MT-0215,7
MT-0216,7
MT-1193,20
MT-0206,782
MT-1211,43
MT-0486,2
MT-0477,1173
MT-1199,1105
MT-0483,36
MT-0474,270
MT-1205,161
MT-0843,5
MT-0840,2966
MT-0842,166
MT-0844,6
MT-0530,13
MT-0527,497
MT-0529,73
MT-0534,15
MT-0705,150
MT-0709,5
MT-0800,82
MT-0692,8
MT-0096,13
MT-0519,283
MT-0533,2
MT-0087,81
MT-0078,12
MT-0590,356
MT-0595,214
MT-0592,127
MT-0586,1498
MT-0588,507
MT-0583,5280
MT-0589,105
MT-0597,181
MT-0594,11
MT-0596,33
MT-0593,574
MT-0591,55
MT-0487,5225
MT-0502,89
MT-0498,13
MT-0491,38
MT-0495,9
MT-0547,127
MT-0566,46
MT-0227,52
MT-0171,9
MT-0159,5
MT-0133,249
MT-0161,6
MT-1207,486
MT-0720,28
MT-0719,19
MT-0721,-2
MT-0717,16
MT-0715,16
MT-0718,17
MT-0327,555
MT-1223,77
MT-0324,224
MT-0330,610
MT-0317,304
MT-0312,1562
MT-0316,121
ND-08025,32
ND-37006,22
ND-08039,68
ND-15010,2
ND-04001,102
ND-27018,0
ND-18127,110
ND-27032,12
ND-30004,27
ND-17006,28
ND-08045,21
ND-18125,188
ND-09007,216
ND-44012,22
ND-08033,58
ND-51004,601
ND-03016,45
ND-51070,533
ND-08035,19
ND-30017,25
ND-13037,56
ND-27014,92
OK-11-I006,750
OK-71-C009,28
OK-64-C002,46
OK-19-C035,277
OK-57-C052,268
OK-57-C035,73
OK-09-C031,290
OK-54-C029,140
OK-68-C050,162
OK-16-C049,570
OK-57-C007,56
OK-11-C044,421
OK-68-C036,393
OK-21-C006,165
OK-15-C004,147
OK-55-C074,388
OK-01-C029,159
OK-09-C070,244
OK-48-C037,326
OK-01-C019,80
OK-40-C039,100
OK-16-C048,350
OK-48-C001,148
OK-26-C037,216
OK-61-C029,389
OK-48-C023,72
OK-11-C034,503
OK-69-C082,93
OK-43-C003,49
OK-63-C027,551
OK-19-C012,58
OK-61-C088,110
OK-40-C014,271
OK-48-C072,230
OK-59-C002,247
OK-67-C054,118
OK-66-C009,534
OK-21-C030,66
OK-72-C015,288
OK-36-C050,91
OK-61-C009,494
OK-03-C022,262
OK-21-C014,173
OK-68-C001,374
OK-19-C008,881
OK-11-C010,100
OK-48-C009,382
OK-35-C007,74
OK-09-C162,198
OK-68-C035,86
OK-01-C022,645
OK-57-C077,313
OK-26-C096,261
OK-68-C068,350
OK-40-C011,115
OK-21-C034,172
OK-64-I022,188
OK-64-C015,47
OK-11-C014,139
OK-60-C104,171
OK-55-C029,720
OK-70-C009,47
OK-46-C043,118
OK-57-C003,167
OK-39-C004,65
OK-36-C027,125
OK-11-C031,187
OK-26-C131,383
OK-63-C029,211
OK-19-C034,286
OK-35-C010,99
OK-09-C029,177
OK-14-C016,352
OK-01-C024,174
OK-49-C003,75
OK-53-I051,263
OK-11-C026,134
OK-63-C032,428
OK-49-C016,107
OK-70-C080,38
OK-61-C056,142
OK-11-C066,197
OK-34-C003,32
OK-58-C010,105
OK-64-C004,73
OK-56-C011,324
OK-66-I008,1395
OK-51-C009,79
OK-18-C001,51
OK-41-C005,143
OK-25-C016,333
OK-31-C010,215
OK-46-C035,98
OK-11-C021,384
OK-10-C072,272
OK-01-C028,285
OR-00000000002015,914
OR-00000000002017,11
OR-00000000002021,3
OR-00000000002019,10
OR-00000000002022,8
OR-00000000002020,6
OR-00000000002109,3
OR-00000000002016,3
OR-00000000002018,2
TX-143904,113
WY-0738000,423
AZ-4244,4499
AZ-4474,2438
AZ-4370,623
AZ-4406,12042
AZ-4468,512
AZ-4470,1582
AZ-4208,1706
AZ-4469,5606
AZ-4412,1080
AZ-4374,360
AZ-4404,12823
AZ-4473,573
AZ-4369,179
AZ-4466,3948
AZ-4245,13818
AZ-4438,373
AZ-4390,1053
AZ-4389,1843
AZ-4397,1754
AZ-4392,507
AZ-4395,108
AZ-4396,1643
AZ-79226,1376
AZ-4171,66
AZ-79598,7178
AZ-4368,5478
AZ-4409,403
AZ-4410,5252
AZ-4443,3021
AZ-4439,534
AZ-4471,293
AZ-4192,9043
AZ-4195,169
AZ-4194,254
AZ-4196,2462
AZ-4169,685
AZ-4175,4761
AZ-4174,3852
AZ-4242,43716
AZ-4247,1190
AZ-4238,467
AZ-4158,3164
AZ-4157,1158
AZ-4156,616
AZ-4442,2585
AZ-4437,9090
AZ-4445,4401
AZ-4441,8731
AZ-4228,395
AZ-4243,23173
AZ-4239,33281
AZ-4235,58343
AZ-4252,1224
AZ-4237,36527
AZ-4405,5408
AZ-4167,765
AZ-4221,620
AZ-4212,314
AZ-4209,2318
AZ-4248,13040
AZ-4241,27919
AZ-4388,455
AZ-4211,933
AZ-4230,1524
AZ-4457,5687
AZ-4510,1722
AZ-4220,1096
AZ-4159,481
AZ-4210,1404
AZ-4155,1376
AZ-4254,3146
AZ-4411,6483
AZ-4172,98
AZ-4240,21177
AZ-4472,199
AZ-4393,2569
AZ-4246,33199
AZ-4391,2948
AZ-4173,428
AZ-4440,335
AZ-4408,2245
AZ-4197,1472
AZ-4394,2364
AZ-4236,1298
AZ-4170,1076
AZ-4193,668
AZ-4154,1736
AZ-4467,748
AZ-4387,1879
AZ-4218,2943
AZ-4458,3673
AZ-4153,965
AZ-4407,14541
AZ-4219,1849
AZ-4168,872
AZ-4403,41511
AZ-4413,14533
AR-6701000,2320
AR-1701000,3143
AR-0407000,2494
AR-0401000,18674
AR-1702000,721
AR-2402000,889
AR-0402000,619
AR-7201000,1404
AR-7202000,2685
AR-4102000,490
AR-6601000,14291
AR-0403000,1617
AR-0404000,2076
AR-7204000,767
AR-6602000,3956
AR-6603000,820
AR-6703000,694
AR-6605000,837
AR-7205000,1122
AR-6606000,775
AR-5703000,1745
AR-7206000,2207
AR-0406000,4612
AR-1705000,5911
AR-7208000,872
CA-5772702,1569
CA-1162661,1391
CA-1764030,1349
CA-1764055,1449
CA-1573908,3408
CA-1573742,5088
CA-1563677,3009
CA-1175481,2262
CA-5271571,528
CA-2866290,1121
CA-2866241,807
CA-5772686,954
CA-5772694,7427
CA-5772710,9531
CA-1673932,2722
CA-1663891,3267
CA-1363099,8353
CA-1363107,1172
CA-5171464,11685
CA-3667637,2145
CA-3667850,24132
CA-0161168,627
CA-0161234,4955
CA-0161291,8624
CA-3066464,41855
CA-3066522,38164
CA-3073635,23711
CA-3066670,39935
CA-3073650,36542
CA-0161150,9207
CA-1764014,1833
CA-1764022,3816
CA-3968577,2277
CA-3968585,27323
CA-3968593,24667
CA-3968650,3302
CA-3968676,35424
CA-3968569,8826
CA-4569989,1187
CA-5373833,84
CA-3767983,358
CA-1864089,132
CA-2565896,96
CA-1875036,248
CA-1864204,174
CA-2573585,832
CA-3375200,22365
CA-3768031,2799
CA-3768304,5082
CA-3773791,19532
CA-1075127,3920
CA-5471860,3892
CA-1062166,69668
CA-1062265,9684
CA-1075275,1319
CA-0461424,12088
CA-0475507,2035
CA-0461531,1579
CA-5075556,2972
CA-1563776,3663
CA-1463248,157
CA-1463297,89
CA-1463289,325
CA-5476794,2099
CA-5476836,2663
CA-2065243,20151
CA-4773684,279
CA-5872736,10174
CA-1476687,1930
CA-0761754,29201
CA-3467314,62061
CA-3467447,38119
CA-5676828,4853
CA-4670177,400
CA-2475317,2283
CA-2473619,1746
CA-2475366,2392
CA-1976869,2491
CA-3776851,2163
CA-3473973,4199
CA-3475283,14552
CA-3467439,38821
CA-5575184,277
CA-1062125,4488
CA-4469799,17452
CA-3575259,993
CA-4169070,7868
CA-4275010,182
CA-4269146,2010
CA-1363149,1573
CA-1363164,4540
CA-3673858,124
CA-3667801,955
CA-3667611,6396
CA-3673890,1949
CA-3667710,33910
CA-3667678,25645
CA-1463271,24
CA-4168890,2748
CA-4168940,258
CA-5471993,3976
CA-5075549,2157
CA-5075564,5227
CA-5075739,13377
CA-1776976,891
CA-2573593,411
CA-2775150,19
CA-2766092,9257
CA-2775440,4748
CA-2765987,2274
CA-4776455,622
CA-0661614,1490
CA-3367124,31653
CA-2766134,1772
CA-2775473,2110
CA-3968502,2669
CA-3975499,13925
CA-3375242,19379
CA-3375192,26538
